rel_mid	mean_gc	se_gc	class
-225.0	0.3773873746395111	0.014425841875769568	NMD
-215.0	0.38328826427459717	0.014115208363259022	NMD
-205.0	0.397792786359787	0.014008906808515431	NMD
-195.0	0.4113062918186188	0.01388214235652693	NMD
-185.0	0.42666664719581604	0.013868802154231242	NMD
-175.0	0.4425225555896759	0.013758657795242804	NMD
-165.0	0.4592342674732208	0.013559407617251974	NMD
-155.0	0.46657657623291016	0.013104778558120997	NMD
-145.0	0.4811261296272278	0.012820329011375935	NMD
-135.0	0.49436935782432556	0.012452962865862355	NMD
-125.0	0.504234254360199	0.012137620963461824	NMD
-115.0	0.5183333158493042	0.011961297490222168	NMD
-105.0	0.5285585522651672	0.011856408169574447	NMD
-95.0	0.5356306433677673	0.011666214817855926	NMD
-85.0	0.5398648381233215	0.01118995248219678	NMD
-75.0	0.545405387878418	0.010729949578852226	NMD
-65.0	0.5486486554145813	0.0100609869461216	NMD
-55.0	0.5608108043670654	0.00933892233128839	NMD
-45.0	0.5700900554656982	0.008428720130643868	NMD
-35.0	0.5803603529930115	0.007628967789803712	NMD
-25.0	0.5769819617271423	0.006989807751716172	NMD
-15.0	0.5797297358512878	0.006201169417411165	NMD
-5.0	0.5802252292633057	0.005962123515078333	NMD
5.0	0.578693687915802	0.0056223556909595525	NMD
15.0	0.5754504203796387	0.005405785313932146	NMD
25.0	0.5865315794944763	0.005528927601153975	NMD
35.0	0.5858558416366577	0.005777707452516652	NMD
45.0	0.5776576399803162	0.00575059779099178	NMD
55.0	0.5724324584007263	0.005892200247887413	NMD
65.0	0.5658107995986938	0.00594176810886125	NMD
75.0	0.5560810565948486	0.00600062793273077	NMD
85.0	0.5489639639854431	0.006220753292632457	NMD
95.0	0.54666668176651	0.006094690361036095	NMD
105.0	0.5395945906639099	0.006042557212539591	NMD
115.0	0.5353603363037109	0.005956022692071288	NMD
125.0	0.5308107733726501	0.005919657840897095	NMD
135.0	0.5220270156860352	0.005656057664072655	NMD
145.0	0.5172972679138184	0.005866223131632715	NMD
155.0	0.5140990614891052	0.005889430939565217	NMD
165.0	0.509189248085022	0.005893549896746686	NMD
175.0	0.5070720911026001	0.005816130898309311	NMD
185.0	0.5072522759437561	0.005868077705451653	NMD
195.0	0.5008108615875244	0.0057747800899528795	NMD
205.0	0.5004504919052124	0.0058748436291933825	NMD
215.0	0.499639630317688	0.005853751697282334	NMD
225.0	0.4959909915924072	0.005715426302379821	NMD
-225.0	0.35482004284858704	0.007411411883694934	Control
-215.0	0.3626992106437683	0.007386795568086181	Control
-205.0	0.3712467551231384	0.007339398847706846	Control
-195.0	0.3779691457748413	0.007280580193149956	Control
-185.0	0.38604113459587097	0.007222507235711286	Control
-175.0	0.3953084647655487	0.007171054134554117	Control
-165.0	0.4053984582424164	0.007086572770762603	Control
-155.0	0.41649100184440613	0.006972567996344264	Control
-145.0	0.4305012822151184	0.006868926674175795	Control
-135.0	0.4431619644165039	0.00676164752867984	Control
-125.0	0.45593830943107605	0.006574419377054176	Control
-115.0	0.4683932960033417	0.006407000174509166	Control
-105.0	0.47884321212768555	0.006241240469147712	Control
-95.0	0.489177405834198	0.00603788085650921	Control
-85.0	0.5002442002296448	0.005853493078050665	Control
-75.0	0.5084704160690308	0.005640138706367655	Control
-65.0	0.5166323781013489	0.0054573522501401815	Control
-55.0	0.525347113609314	0.005242967728486864	Control
-45.0	0.5333290100097656	0.004974507321941929	Control
-35.0	0.5392801761627197	0.004694772307397811	Control
-25.0	0.5364139080047607	0.004334669351514203	Control
-15.0	0.5396786332130432	0.0038315546077285953	Control
-5.0	0.5436246991157532	0.0036171251327029026	Control
5.0	0.5443187355995178	0.003378518298528119	Control
15.0	0.543457567691803	0.003186792165348937	Control
25.0	0.5518894791603088	0.0032150923909358455	Control
35.0	0.5523264408111572	0.0033550254394693084	Control
45.0	0.5480719804763794	0.003308727621276854	Control
55.0	0.5467994809150696	0.0033220976608438015	Control
65.0	0.5450128316879272	0.0032785231103946333	Control
75.0	0.5380591154098511	0.003227996275364048	Control
85.0	0.5356812477111816	0.003217515339930912	Control
95.0	0.534164547920227	0.0032058920599762485	Control
105.0	0.5277506113052368	0.0031699720488920693	Control
115.0	0.5270308256149292	0.003224420782342796	Control
125.0	0.5269794464111328	0.0031820456180893463	Control
135.0	0.5216966867446899	0.0031426881850562098	Control
145.0	0.5195629596710205	0.0032181779299741533	Control
155.0	0.5194730162620544	0.0032306964997819987	Control
165.0	0.5140359401702881	0.003226390797779228	Control
175.0	0.5137532353401184	0.003297565585588323	Control
185.0	0.5149229168891907	0.0032996319296798443	Control
195.0	0.5121208429336548	0.003291128564871775	Control
205.0	0.5100643038749695	0.003304941716252133	Control
215.0	0.5113367438316345	0.003276552339439338	Control
225.0	0.5063367486000061	0.0031771426784250223	Control
