rel_mid	mean_gc	se_gc	class	n_transcripts
-225.0	0.5117843151092529	0.0031899414504993214	NMD	1743
-215.0	0.5137808322906494	0.0031593665748840005	NMD	1743
-205.0	0.517533004283905	0.0030797458339849072	NMD	1743
-195.0	0.5121285319328308	0.003047114739717194	NMD	1743
-185.0	0.509913980960846	0.003081695690346306	NMD	1743
-175.0	0.5087206363677979	0.0030504962039617283	NMD	1743
-165.0	0.5025129318237305	0.002968751251066504	NMD	1743
-155.0	0.4991394281387329	0.0029255570963895657	NMD	1743
-145.0	0.4997590482234955	0.002904304804195726	NMD	1743
-135.0	0.4973723590373993	0.002815501749607904	NMD	1743
-125.0	0.49604129791259766	0.002780913125189341	NMD	1743
-115.0	0.499781996011734	0.002784511061680478	NMD	1743
-105.0	0.49710845947265625	0.0027595935534926418	NMD	1743
-95.0	0.4980493187904358	0.002701924847309175	NMD	1743
-85.0	0.499231219291687	0.0026261354688687007	NMD	1743
-75.0	0.49820998311042786	0.0025824958774831727	NMD	1743
-65.0	0.49808377027511597	0.0025994422814939783	NMD	1743
-55.0	0.49892139434814453	0.002570765865696757	NMD	1743
-45.0	0.49659207463264465	0.0025226196183809344	NMD	1743
-35.0	0.4936316907405853	0.0025346963783743973	NMD	1743
-25.0	0.4845094680786133	0.002483643192538455	NMD	1743
-15.0	0.47269079089164734	0.0024365407590481694	NMD	1743
-5.0	0.46893858909606934	0.0024556126242766445	NMD	1743
5.0	0.46710270643234253	0.0025099774964111843	NMD	1743
15.0	0.4644291400909424	0.0025318961590657107	NMD	1743
25.0	0.4697877764701843	0.0026017851072593495	NMD	1743
35.0	0.4736546277999878	0.002621346310410482	NMD	1743
45.0	0.47370052337646484	0.002570488003134548	NMD	1743
55.0	0.4721514880657196	0.0025266660254043972	NMD	1743
65.0	0.4710729122161865	0.0025981182851233745	NMD	1743
75.0	0.4715662896633148	0.0026015197369125254	NMD	1743
85.0	0.47285139560699463	0.0026655448392043845	NMD	1743
95.0	0.47140565514564514	0.0026780325930840184	NMD	1743
105.0	0.470602422952652	0.002735985407937387	NMD	1743
115.0	0.4698221683502197	0.0027427970560664574	NMD	1743
125.0	0.47043028473854065	0.0027443644721768514	NMD	1743
135.0	0.4690763056278229	0.0027442946942309145	NMD	1743
145.0	0.4683075249195099	0.0027829140211735994	NMD	1743
155.0	0.46896156668663025	0.0027976782136168426	NMD	1743
165.0	0.47024670243263245	0.0028768553024095442	NMD	1743
175.0	0.4692140221595764	0.0029479128081223516	NMD	1743
185.0	0.46791738271713257	0.0029838220381673422	NMD	1743
195.0	0.4676879346370697	0.0029539229914043565	NMD	1743
205.0	0.4663453698158264	0.0029598248493329505	NMD	1743
215.0	0.46464717388153076	0.002977594847258076	NMD	1743
225.0	0.46187037229537964	0.0030250356413250782	NMD	1743
-225.0	0.5048327445983887	0.0014518236947729751	Control	7863
-215.0	0.504491925239563	0.0014523014471258626	Control	7863
-205.0	0.5076408386230469	0.001442079596924861	Control	7863
-195.0	0.5047895312309265	0.001412863939850071	Control	7863
-185.0	0.5051430463790894	0.0014138434750118655	Control	7863
-175.0	0.5082258582115173	0.0013923975533532242	Control	7863
-165.0	0.5058705806732178	0.0013827522660515394	Control	7863
-155.0	0.5058221817016602	0.0013727786185326394	Control	7863
-145.0	0.5090855956077576	0.0013365408589006511	Control	7863
-135.0	0.5058450698852539	0.0013040256353647466	Control	7863
-125.0	0.5069642663002014	0.0013138620740211306	Control	7863
-115.0	0.5106117129325867	0.0013156822550307338	Control	7863
-105.0	0.5093297958374023	0.0013074408168869888	Control	7863
-95.0	0.5089177489280701	0.0013331224004980425	Control	7863
-85.0	0.5112476348876953	0.0013267361807770479	Control	7863
-75.0	0.5060943365097046	0.0013109271655289806	Control	7863
-65.0	0.5044792294502258	0.0013267933161270238	Control	7863
-55.0	0.5047284960746765	0.0013256100262245061	Control	7863
-45.0	0.5011497139930725	0.0013315717639042085	Control	7863
-35.0	0.4999134838581085	0.001360187583826824	Control	7863
-25.0	0.48895588517189026	0.0013427346669283443	Control	7863
-15.0	0.48064860701560974	0.0013769527759612543	Control	7863
-5.0	0.4764440953731537	0.00144977791315354	Control	7863
5.0	0.47256267070770264	0.001530707951807643	Control	7863
15.0	0.4632633924484253	0.0016038454009056065	Control	7863
25.0	0.46686509251594543	0.0017107478252976261	Control	7863
35.0	0.46332696080207825	0.001722179600556943	Control	7863
45.0	0.454813688993454	0.00171117835696421	Control	7863
55.0	0.44801220297813416	0.001710750850110272	Control	7863
65.0	0.44315147399902344	0.0017160930053330284	Control	7863
75.0	0.4373140037059784	0.0017293470621662862	Control	7863
85.0	0.43286532163619995	0.0017466236156830016	Control	7863
95.0	0.42930176854133606	0.0017746058213788981	Control	7863
105.0	0.42589089274406433	0.0018089544174684443	Control	7863
115.0	0.42245200276374817	0.0018375407454677636	Control	7863
125.0	0.4202340245246887	0.0018532697712258643	Control	7863
135.0	0.4174157679080963	0.0018766855180975019	Control	7863
145.0	0.4139946699142456	0.0019036322295976566	Control	7863
155.0	0.41126033663749695	0.0019190444902536844	Control	7863
165.0	0.40958666801452637	0.001960128839969961	Control	7863
175.0	0.40767645835876465	0.00198452597050001	Control	7863
185.0	0.4052143096923828	0.002005275345024385	Control	7863
195.0	0.4033752977848053	0.002029563750344332	Control	7863
205.0	0.4006384313106537	0.002034011905385111	Control	7863
215.0	0.3976370394229889	0.0020370572195388325	Control	7863
225.0	0.39403030276298523	0.002042514485687276	Control	7863
